Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,Item_Visibility_Meanratio,Outlet_Years,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
DRI11,12.792854228644991,12.792854228644991,113.2834,OUT027,2303.6679999999997,1.0000000000000435,28,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
FDU02,13.35,13.35,230.5352,OUT035,2748.4224,1.0435513264981995,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDN22,18.85,18.85,250.8724,OUT013,3775.086,1.4734788392877198,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDW12,12.792854228644991,12.792854228644991,144.5444,OUT027,4064.0432,1.0000000000000435,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCB30,14.6,14.6,196.5084,OUT035,1587.2672,1.141262124859454,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDC37,12.792854228644991,12.792854228644991,107.6938,OUT019,214.3876,1.0000000000000435,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDR28,13.85,13.85,165.021,OUT046,4078.025,1.0826356458427013,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCD06,13.0,13.0,45.906000000000006,OUT017,838.908,1.016192302957048,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDV10,7.645,7.645,42.3112,OUT035,1065.28,0.5975992427774333,9,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRJ59,11.65,11.65,39.1164,OUT013,308.9312,0.9106646407268931,26,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDE51,5.925,5.925,45.5086,OUT010,178.4344,0.4631491842323469,15,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDC14,12.792854228644991,12.792854228644991,43.6454,OUT019,125.8362,1.0000000000000435,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDV38,19.25,19.25,55.7956,OUT010,163.7868,1.5047462947633212,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCS17,18.6,18.6,96.4436,OUT018,2741.7644,1.453936679615469,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDP33,18.7,18.7,256.6672,OUT018,3068.0064,1.4617535434843691,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDO23,17.85,17.85,93.1436,OUT045,2174.5028,1.3953102005987161,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH01,17.5,17.5,174.8738,OUT046,2085.2856,1.3679511770575647,16,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
NCX29,10.0,10.0,146.7102,OUT049,3791.0652,0.781686386890037,14,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDV20,12.792854228644991,12.792854228644991,128.0678,OUT027,2797.6916,1.0000000000000435,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
DRZ11,8.85,8.85,122.5388,OUT018,1609.9044,0.6917924523976827,4,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDX10,12.792854228644991,12.792854228644991,36.9874,OUT027,388.1614,1.0000000000000435,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB34,12.792854228644991,12.792854228644991,87.6198,OUT027,2180.495,1.0000000000000435,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDU02,13.35,13.35,230.6352,OUT046,3435.528,1.0435513264981995,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDK43,9.8,9.8,126.00200000000001,OUT013,2150.534,0.7660526591522363,26,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA46,13.6,13.6,192.9136,OUT049,2527.3768,1.0630934861704504,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDC02,21.35,21.35,259.9278,OUT018,6768.5228,1.668900436010229,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDL50,12.15,12.15,126.5046,OUT013,373.5138,0.949748960071395,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDM39,6.42,6.42,178.1002,OUT010,358.2004,0.5018426603834037,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCP05,19.6,19.6,153.3024,OUT045,2428.8384,1.5321053183044726,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDV49,10.0,10.0,265.2226,OUT045,5815.0972,0.781686386890037,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDL12,15.85,15.85,60.622,OUT046,2576.646,1.2389729232207087,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS02,12.792854228644991,12.792854228644991,196.8794,OUT019,780.3176,1.0000000000000435,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
NCL17,7.39,7.39,143.8812,OUT046,3134.5864,0.5776662399117374,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDM40,10.195,10.195,141.5154,OUT013,850.8924,0.7969292714343927,26,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDR13,9.895,9.895,117.0492,OUT013,810.9444,0.7734786798276916,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA43,10.895,10.895,196.3794,OUT017,3121.2704,0.8516473185166953,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCP18,12.15,12.15,151.4708,OUT017,4815.0656,0.949748960071395,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDK21,7.905,7.905,249.0408,OUT018,6258.52,0.6179230888365743,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCX54,9.195,9.195,106.1622,OUT045,2117.244,0.718760632745389,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DRK35,8.365,8.365,38.0506,OUT049,796.9626,0.653880662633516,14,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDY21,15.1,15.1,194.511,OUT046,4910.275,1.180346444203956,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDI26,12.792854228644991,12.792854228644991,180.0344,OUT019,892.172,1.0000000000000435,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDM20,10.0,10.0,246.9144,OUT018,3185.1872,0.781686386890037,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDV27,7.97,7.97,87.3514,OUT045,1062.6168,0.6230040503513595,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDF09,12.792854228644991,12.792854228644991,38.2848,OUT027,484.7024,1.0000000000000435,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDY40,12.792854228644991,12.792854228644991,51.0692,OUT019,147.8076,1.0000000000000435,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDY45,12.792854228644991,12.792854228644991,255.8356,OUT027,2543.356,1.0000000000000435,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDC46,17.7,17.7,185.4266,OUT010,184.4266,1.3835849047953654,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDH19,19.35,19.35,172.5738,OUT035,4865.6664,1.5125631586322217,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDZ03,13.65,13.65,186.024,OUT045,1118.5439999999999,1.0670019181049006,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH37,17.6,17.6,164.8526,OUT045,2302.3364,1.3757680409264652,11,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
NCI17,8.645,8.645,95.84100000000001,OUT046,2027.361,0.675767881466437,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDJ58,15.6,15.6,170.1764,OUT046,3435.528,1.2194307635484578,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDL12,15.85,15.85,59.222,OUT013,599.22,1.2389729232207087,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDH35,18.25,18.25,164.7526,OUT045,4604.6728,1.4265776560743175,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDG02,7.855,7.855,189.6188,OUT017,2285.0256,0.6140146569021241,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCZ18,7.825,7.825,254.3698,OUT049,5580.7356,0.611669597741454,14,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDC29,8.39,8.39,114.0176,OUT046,2290.3520000000003,0.6558348786007411,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDQ10,12.85,12.85,172.3422,OUT049,1207.0954,1.0044670071536976,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDN48,12.792854228644991,12.792854228644991,89.9804,OUT019,643.1628,1.0000000000000435,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDL04,19.0,19.0,104.9622,OUT017,1587.933,1.4852041350910703,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDV25,5.905,5.905,222.5456,OUT045,5305.0944,0.46158581145856686,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD58,7.76,7.76,101.87,OUT046,1697.79,0.6065886362266687,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN04,11.8,11.8,180.3344,OUT046,1427.4752,0.9223899365302437,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDV45,16.75,16.75,187.9556,OUT018,4693.89,1.309324698040812,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCL18,12.792854228644991,12.792854228644991,194.6136,OUT019,583.2408,1.0000000000000435,28,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDR12,12.792854228644991,12.792854228644991,171.3764,OUT027,3091.9752,1.0000000000000435,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDG20,15.5,15.5,177.0028,OUT017,2479.4392,1.2116138996795573,6,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ55,6.055,6.055,160.99200000000002,OUT035,2716.4640000000004,0.4733111072619174,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDQ49,12.792854228644991,12.792854228644991,155.963,OUT027,3285.723,1.0000000000000435,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDN33,6.305,6.305,95.6436,OUT046,661.8052,0.4928532669341683,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN27,20.85,20.85,117.2808,OUT049,1523.3504,1.6298161166657272,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDW20,20.75,20.75,122.17299999999999,OUT010,369.519,1.6219992527968268,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DRG27,8.895,8.895,39.9138,OUT049,690.4346,0.6953100411386879,14,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
DRI25,19.6,19.6,55.1614,OUT045,1381.535,1.5321053183044726,11,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDA44,19.7,19.7,57.893,OUT035,622.523,1.5399221821733728,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCR17,9.8,9.8,114.5492,OUT035,1274.3412,0.7660526591522363,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDU04,12.792854228644991,12.792854228644991,120.0414,OUT019,487.3656,1.0000000000000435,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDF41,12.15,12.15,246.046,OUT049,1231.73,0.949748960071395,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDB56,8.75,8.75,187.4556,OUT035,3755.112,0.6839755885287824,9,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCP18,12.792854228644991,12.792854228644991,149.9708,OUT027,4363.6532,1.0000000000000435,28,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDB56,8.75,8.75,187.8556,OUT046,1314.2892,0.6839755885287824,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDT28,13.3,13.3,151.0708,OUT045,1805.6496,1.0396428945637493,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD10,12.792854228644991,12.792854228644991,178.5344,OUT027,2854.9504,1.0000000000000435,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDW57,8.31,8.31,179.1028,OUT049,3896.2616,0.6495813875056208,14,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRB48,16.75,16.75,38.7822,OUT013,667.7974,1.309324698040812,26,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDP09,19.75,19.75,212.0902,OUT018,3185.853,1.543830614107823,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDH14,17.1,17.1,141.1838,OUT013,2247.7408,1.3366837215819634,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA47,10.5,10.5,163.121,OUT013,1794.3310000000001,0.8207707062345388,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDG12,6.635,6.635,121.3098,OUT045,2530.7058,0.5186489177015395,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRE60,12.792854228644991,12.792854228644991,225.372,OUT019,679.1160000000001,1.0000000000000435,28,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
DRK49,14.15,14.15,41.4138,OUT013,812.2760000000001,1.1060862374494025,26,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDD03,13.3,13.3,232.53,OUT046,699.09,1.0396428945637493,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS52,8.89,8.89,102.4016,OUT017,2732.4432,0.6949191979452429,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDW39,12.792854228644991,12.792854228644991,176.937,OUT019,176.437,1.0000000000000435,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDX34,12.792854228644991,12.792854228644991,121.7098,OUT027,4097.3332,1.0000000000000435,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDV11,9.1,9.1,173.2054,OUT045,3151.8972,0.7113346120699336,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD17,7.5,7.5,239.0906,OUT049,5942.265,0.5862647901675277,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDZ16,16.85,16.85,192.4478,OUT017,4843.695,1.3171415619097124,6,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ46,7.485,7.485,109.0228,OUT035,2542.0244,0.5850922605871928,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRA12,11.6,11.6,140.3154,OUT017,2552.6772,0.9067562087924429,6,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
FDY58,11.65,11.65,227.0694,OUT018,1141.847,0.9106646407268931,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCF19,13.0,13.0,47.5034,OUT017,680.4476,1.016192302957048,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
DRJ13,12.65,12.65,159.0578,OUT045,2085.9514,0.9888332794158968,11,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDB14,20.25,20.25,92.512,OUT010,186.424,1.582914933452325,15,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDJ38,8.6,8.6,190.153,OUT035,3036.048,0.6722502927254318,9,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDW11,12.6,12.6,62.7194,OUT017,866.8716,0.9849248474814466,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDL40,17.7,17.7,95.041,OUT035,868.8689999999999,1.3835849047953654,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRI49,14.15,14.15,82.4276,OUT046,1137.1864,1.1060862374494025,16,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FDV38,19.25,19.25,52.7956,OUT017,928.1252,1.5047462947633212,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
DRG23,8.88,8.88,151.7682,OUT013,762.341,0.6941375115583529,26,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NCP30,20.5,20.5,40.2822,OUT045,707.0796,1.6024570931245758,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDY25,12.792854228644991,12.792854228644991,180.5976,OUT027,7968.2944,1.0000000000000435,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCH54,13.5,13.5,160.292,OUT046,1438.128,1.05527662230155,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
NCR53,12.792854228644991,12.792854228644991,224.4404,OUT027,6976.2524,1.0000000000000435,28,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDS52,8.89,8.89,101.7016,OUT010,101.2016,0.6949191979452429,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDG02,7.855,7.855,188.5188,OUT018,952.0939999999999,0.6140146569021241,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCO26,7.235,7.235,116.0492,OUT046,1969.4364,0.5655501009149418,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDH35,12.792854228644991,12.792854228644991,165.4526,OUT027,5262.4832,1.0000000000000435,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB51,6.92,6.92,60.5852,OUT045,1314.2892,0.5409269797279056,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDX44,9.3,9.3,90.8172,OUT017,535.3032,0.7269683398077345,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCN07,18.5,18.5,132.1284,OUT010,263.6568,1.4461198157465684,15,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
NCC31,8.02,8.02,154.5972,OUT035,1402.1748,0.6269124822858096,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
NCX54,9.195,9.195,105.1622,OUT017,1693.7952,0.718760632745389,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
NCO55,12.8,12.8,105.5938,OUT045,2143.876,1.0005585752192474,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
